Species: Buff-collared Nightjar, Images available: 20
Species: Mexican Whip-poor-will, Images available: 9
Species: White-collared Swift, Images available: 48
Species: Mexican Violetear, Images available: 11
Species: Blue-throated Mountain-gem, Images available: 38
Species: Xantus's Hummingbird, Images available: 15
Species: Long-billed Murrelet, Images available: 0
Species: Kittlitz's Murrelet, Images available: 35
Species: Guadalupe Murrelet, Images available: 14
Species: Craveri's Murrelet, Images available: 24
Species: Chatham Albatross, Images available: 9
Species: Townsend's Storm-Petrel, Images available: 18
Species: Ainley's Storm-Petrel, Images available: 0
Species: Band-rumped Storm-Petrel, Images available: 35
Species: Wedge-rumped Storm-Petrel, Images available: 32
Species: Tristram's Storm-Petrel, Images available: 38
Species: Least Storm-Petrel, Images available: 8
Species: Gray-faced Petrel, Images available: 9
Species: Kermadec Petrel, Images available: 8
Species: Murphy's Petrel, Images available: 4
Species: Mottled Petrel, Images available: 38
Species: Cook's Petrel, Images available: 37
Species: Stejneger's Petrel, Images available: 0
Species: Jouanin's Petrel, Images available: 2
Species: Newell's Shearwater, Images available: 16
Species: American Goshawk, Images available: 42
Species: Small-billed Elaenia, Images available: 14
Species: Lanceolated Warbler, Images available: 25
Species: Arctic/Kamchatka Leaf Warbler, Images available: 0
Species: LeConte's Thrasher, Images available: 32
Species: Eyebrowed Thrush, Images available: 28
Species: Asian Stonechat, Images available: 31
Species: Thick-billed Longspur, Images available: 34
Species: Black-backed Oriole, Images available: 5
